time,infection
1956.528767,4050
1956.531507,4042
1956.534247,4013
1956.536986,3987
1956.539726,3965
1956.542466,3946
1956.545205,3929
1956.547945,3914
1956.550685,3901
1956.553425,3889
1956.556164,3879
1956.558904,3870
1956.561644,3863
1956.564384,3856
1956.567123,3850
1956.569863,3845
1956.572603,3841
1956.575342,3837
1956.578082,3833
1956.580822,3830
1956.583562,3828
1956.586301,3825
1956.589041,3823
1956.591781,3813
1956.594521,3804
1956.59726,3796
1956.6,3789
1956.60274,3782
1956.605479,3777
1956.608219,3772
1956.610959,3689
1956.613699,3616
1956.616438,3552
1956.619178,3496
1956.621918,3447
1956.624658,3404
1956.627397,3366
1956.630137,3294
1956.632877,3230
1956.635616,3175
1956.638356,3126
1956.641096,3084
1956.643836,3047
1956.646575,3014
1956.649315,2906
1956.652055,2812
1956.654795,2730
1956.657534,2657
1956.660274,2594
1956.663014,2539
1956.665753,2491
1956.668493,2378
1956.671233,2279
1956.673973,2192
1956.676712,2117
1956.679452,2051
1956.682192,1993
1956.684932,1942
1956.687671,1858
1956.690411,1784
1956.693151,1720
1956.69589,1664
1956.69863,1615
1956.70137,1571
1956.70411,1534
1956.706849,1479
1956.709589,1431
1956.712329,1389
1956.715068,1352
1956.717808,1319
1956.720548,1291
1956.723288,1267
1956.726027,1267
1956.728767,1267
1956.731507,1268
1956.734247,1268
1956.736986,1268
1956.739726,1268
1956.742466,1268
1956.745205,1313
1956.747945,1352
1956.750685,1385
1956.753425,1415
1956.756164,1441
1956.758904,1464
1956.761644,1484
1956.764384,1585
1956.767123,1673
1956.769863,1751
1956.772603,1818
1956.775342,1878
1956.778082,1930
1956.780822,1975
1956.783562,2037
1956.786301,2091
1956.789041,2138
1956.791781,2180
1956.794521,2216
1956.79726,2248
1956.8,2275
1956.80274,2397
1956.805479,2503
1956.808219,2596
1956.810959,2677
1956.813699,2748
1956.816438,2810
1956.819178,2865
1956.821918,2943
1956.824658,3012
1956.827397,3072
1956.830137,3125
1956.832877,3171
1956.835616,3211
1956.838356,3246
1956.841096,3286
1956.843836,3320
1956.846575,3350
1956.849315,3377
1956.852055,3400
1956.854795,3420
1956.857534,3438
1956.860274,3458
1956.863014,3475
1956.865753,3491
1956.868493,3504
1956.871233,3516
1956.873973,3526
1956.876712,3535
1956.879452,3600
1956.882192,3657
1956.884932,3707
1956.887671,3751
1956.890411,3789
1956.893151,3822
1956.89589,3851
1956.89863,3956
1956.90137,4048
1956.90411,4129
1956.906849,4199
1956.909589,4261
1956.912329,4314
1956.915068,4362
1956.917808,4469
1956.920548,4563
1956.923288,4645
1956.926027,4717
1956.928767,4780
1956.931507,4835
1956.934247,4883
1956.936986,5137
1956.939726,5359
1956.942466,5554
1956.945205,5724
1956.947945,5873
1956.950685,6003
1956.953425,6117
1956.956164,6291
1956.958904,6444
1956.961644,6578
1956.964384,6695
1956.967123,6797
1956.969863,6886
1956.972603,6965
1956.975342,7055
1956.978082,7135
1956.980822,7204
1956.983562,7265
1956.986301,7318
1956.989041,7365
1956.991781,7405
1956.994521,7476
1956.99726,7538
1957,7592
1957.00274,7640
1957.005479,7681
1957.008219,7717
1957.010959,7749
1957.013699,8347
1957.016438,8870
1957.019178,9328
1957.021918,9729
1957.024658,10079
1957.027397,10386
1957.030137,10654
1957.032877,10645
1957.035616,10637
1957.038356,10631
1957.041096,10625
1957.043836,10619
1957.046575,10615
1957.049315,10611
1957.052055,10451
1957.054795,10311
1957.057534,10188
1957.060274,10081
1957.063014,9987
1957.065753,9905
1957.068493,9833
1957.071233,9962
1957.073973,10074
1957.076712,10173
1957.079452,10259
1957.082192,10334
1957.084932,10400
1957.087671,10458
1957.090411,11013
1957.093151,11499
1957.09589,11924
1957.09863,12296
1957.10137,12621
1957.10411,12906
1957.106849,13155
1957.109589,13913
1957.112329,14576
1957.115068,15156
1957.117808,15663
1957.120548,16107
1957.123288,16496
1957.126027,16836
1957.128767,17551
1957.131507,18177
1957.134247,18725
1957.136986,19204
1957.139726,19624
1957.142466,19990
1957.145205,20311
1957.147945,20819
1957.150685,21263
1957.153425,21651
1957.156164,21991
1957.158904,22288
1957.161644,22548
1957.164384,22776
1957.167123,23219
1957.169863,23606
1957.172603,23945
1957.175342,24242
1957.178082,24502
1957.180822,24729
1957.183562,24927
1957.186301,25362
1957.189041,25743
1957.191781,26076
1957.194521,26367
1957.19726,26622
1957.2,26845
1957.20274,27041
1957.205479,27211
1957.208219,27361
1957.210959,27492
1957.213699,27606
1957.216438,27706
1957.219178,27794
1957.221918,27870
1957.224658,28268
1957.227397,28616
1957.230137,28921
1957.232877,29187
1957.235616,29420
1957.238356,29624
1957.241096,29803
1957.243836,29681
1957.246575,29574
1957.249315,29480
1957.252055,29398
